DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
29-Sep-2025,EQ,"858.05","873.50","856.00","856.95","870.25","870.75","868.13","880.50","680.00","2,26,41,712","19,65,59,96,220.15","1,92,001"
26-Sep-2025,EQ,"862.00","864.35","853.00","861.15","857.00","856.95","857.34","880.50","680.00","69,59,545","5,96,66,77,885.80","1,58,616"
25-Sep-2025,EQ,"866.55","870.15","859.95","866.20","861.45","861.15","864.66","880.50","680.00","86,78,821","7,50,41,97,402.95","1,90,936"
24-Sep-2025,EQ,"876.00","880.50","864.45","870.60","866.15","866.20","872.28","880.50","680.00","1,28,40,160","11,20,02,49,246.85","2,19,731"
23-Sep-2025,EQ,"854.60","874.25","851.20","855.25","869.60","870.60","866.65","875.45","680.00","1,43,57,863","12,44,31,85,268.45","2,18,373"
22-Sep-2025,EQ,"862.00","868.20","854.00","862.35","854.70","855.25","860.89","875.45","680.00","65,94,034","5,67,67,37,180.15","1,58,066"
19-Sep-2025,EQ,"852.00","864.45","849.30","854.35","862.55","862.35","861.00","875.45","680.00","1,52,06,426","13,09,27,18,216.85","2,46,465"
18-Sep-2025,EQ,"858.65","860.80","851.10","857.15","854.10","854.35","855.42","875.45","680.00","1,04,00,847","8,89,70,51,776.00","2,61,925"
17-Sep-2025,EQ,"834.30","858.15","831.00","831.55","856.90","857.15","847.27","875.45","680.00","1,72,43,938","14,61,03,49,915.40","2,40,034"
16-Sep-2025,EQ,"825.10","833.00","821.65","824.75","832.65","831.55","829.33","875.45","680.00","94,67,531","7,85,17,53,614.45","1,76,946"
15-Sep-2025,EQ,"823.55","827.80","821.10","823.55","824.00","824.75","824.82","875.45","680.00","38,52,494","3,17,76,18,594.55","1,12,933"
12-Sep-2025,EQ,"824.10","825.80","819.80","823.65","823.20","823.55","822.85","875.45","680.00","50,78,018","4,17,84,28,627.05","97,209"
11-Sep-2025,EQ,"819.10","825.70","819.00","818.20","824.60","823.65","823.20","875.45","680.00","74,25,055","6,11,22,87,855.00","1,27,782"
10-Sep-2025,EQ,"812.00","824.60","810.40","808.85","818.45","818.20","818.64","875.45","680.00","72,85,853","5,96,44,83,743.85","1,06,322"
09-Sep-2025,EQ,"812.00","812.35","805.60","808.80","808.00","808.85","808.44","875.45","680.00","45,67,272","3,69,23,46,687.10","1,04,998"
08-Sep-2025,EQ,"808.00","813.85","806.80","806.60","808.00","808.80","810.20","875.45","680.00","46,14,227","3,73,84,54,020.95","1,21,620"
05-Sep-2025,EQ,"811.50","812.50","803.65","809.40","806.95","806.60","807.29","875.45","680.00","51,94,842","4,19,37,21,391.00","1,02,729"
04-Sep-2025,EQ,"814.65","816.75","808.00","812.15","809.85","809.40","811.23","875.45","680.00","44,71,950","3,62,77,64,983.40","96,652"
03-Sep-2025,EQ,"804.30","813.30","803.00","803.90","813.00","812.15","810.40","875.45","680.00","42,61,589","3,45,35,82,134.40","87,672"
02-Sep-2025,EQ,"806.30","810.50","802.65","806.05","803.75","803.90","806.45","875.45","680.00","50,75,460","4,09,31,29,116.75","1,06,989"
01-Sep-2025,EQ,"803.10","808.30","802.65","802.50","805.50","806.05","805.30","875.45","680.00","56,19,805","4,52,56,56,654.45","1,28,697"
29-Aug-2025,EQ,"800.70","806.70","798.50","801.95","802.40","802.50","803.00","875.45","680.00","68,61,440","5,50,97,12,391.70","1,27,449"
28-Aug-2025,EQ,"807.25","811.00","800.65","807.85","802.90","801.95","806.19","875.45","680.00","78,98,436","6,36,76,29,468.00","1,63,534"
26-Aug-2025,EQ,"814.85","815.85","806.75","816.45","808.40","807.85","810.30","875.45","680.00","69,97,817","5,67,03,32,537.10","1,27,200"
25-Aug-2025,EQ,"817.45","820.50","814.20","816.25","816.50","816.45","817.57","875.45","680.00","56,72,898","4,63,79,81,705.05","1,76,881"
22-Aug-2025,EQ,"824.00","826.00","815.70","825.70","816.80","816.25","819.33","875.45","680.00","50,97,647","4,17,66,41,494.85","1,41,389"
21-Aug-2025,EQ,"828.95","833.25","824.05","828.95","824.05","825.70","828.67","875.45","680.00","44,02,511","3,64,82,16,255.50","1,08,762"
20-Aug-2025,EQ,"828.70","831.90","827.40","830.40","828.90","828.95","829.56","875.45","680.00","44,93,888","3,72,79,70,038.65","89,785"
19-Aug-2025,EQ,"827.50","831.00","825.80","827.65","829.15","830.40","829.06","875.45","680.00","50,76,681","4,20,88,57,802.10","1,10,280"
18-Aug-2025,EQ,"836.00","838.00","825.15","826.55","826.20","827.65","829.82","875.45","680.00","61,38,124","5,09,35,38,559.75","1,36,179"
14-Aug-2025,EQ,"822.00","828.00","819.10","821.85","825.50","826.55","826.02","875.45","680.00","70,87,573","5,85,44,78,307.95","1,52,716"
13-Aug-2025,EQ,"822.65","824.95","820.65","820.60","821.55","821.85","822.38","875.45","680.00","44,47,508","3,65,75,29,878.05","85,625"
12-Aug-2025,EQ,"824.95","825.50","820.00","823.45","821.10","820.60","823.09","875.45","680.00","79,86,728","6,57,37,58,560.40","2,24,361"
11-Aug-2025,EQ,"808.00","825.00","808.00","804.30","820.80","823.45","820.82","875.45","680.00","1,52,36,297","12,50,62,19,350.05","2,87,439"
08-Aug-2025,EQ,"805.00","807.80","790.00","805.15","802.50","804.30","801.59","875.45","680.00","1,57,08,181","12,59,15,58,509.55","2,77,397"
07-Aug-2025,EQ,"801.10","806.65","793.40","805.15","805.60","805.15","799.81","875.45","680.00","70,91,392","5,67,17,67,724.35","1,34,092"
06-Aug-2025,EQ,"800.95","810.20","799.00","800.60","804.80","805.15","804.39","875.45","680.00","74,09,396","5,96,00,18,370.35","1,20,510"
05-Aug-2025,EQ,"798.00","804.05","796.30","795.70","800.50","800.60","800.20","875.45","680.00","73,81,537","5,90,66,92,588.80","1,74,330"
04-Aug-2025,EQ,"794.50","797.20","786.55","794.00","796.80","795.70","792.44","875.45","680.00","88,20,724","6,98,98,58,237.10","1,69,176"
01-Aug-2025,EQ,"795.70","801.00","792.00","796.55","792.95","794.00","795.49","889.10","680.00","1,54,68,391","12,30,49,83,591.85","1,80,563"
31-Jul-2025,EQ,"795.10","803.80","792.55","801.65","796.00","796.55","798.31","889.10","680.00","1,13,59,112","9,06,80,69,397.05","1,85,101"
30-Jul-2025,EQ,"798.95","803.40","796.20","799.20","800.00","801.65","800.75","889.10","680.00","87,43,723","7,00,15,26,821.20","1,19,582"
29-Jul-2025,EQ,"796.20","800.00","793.10","797.15","798.85","799.20","797.21","889.10","680.00","78,33,759","6,24,51,23,153.40","1,33,563"
28-Jul-2025,EQ,"806.55","808.95","796.00","806.55","796.55","797.15","801.77","889.10","680.00","77,34,158","6,20,10,51,607.25","2,43,443"
25-Jul-2025,EQ,"815.00","819.20","805.50","815.70","805.90","806.55","810.72","895.00","680.00","67,34,439","5,45,97,44,200.85","1,55,026"
24-Jul-2025,EQ,"820.00","821.95","810.65","820.65","816.50","815.70","815.53","895.00","680.00","1,01,18,309","8,25,17,55,595.70","1,97,128"
23-Jul-2025,EQ,"812.50","825.20","811.50","815.00","820.05","820.65","817.03","895.00","680.00","1,54,70,390","12,63,97,61,432.95","2,21,637"
22-Jul-2025,EQ,"827.50","828.05","814.00","824.20","814.65","815.00","819.53","895.00","680.00","78,51,163","6,43,42,96,996.25","1,46,969"
21-Jul-2025,EQ,"823.00","827.35","817.95","823.35","824.60","824.20","823.65","895.00","680.00","88,52,594","7,29,14,70,527.50","1,46,624"
18-Jul-2025,EQ,"832.00","832.65","820.25","829.00","823.00","823.35","823.40","899.00","680.00","1,53,87,801","12,67,02,69,957.10","1,77,062"
17-Jul-2025,EQ,"838.40","842.50","826.35","831.70","828.75","829.00","834.43","899.00","680.00","2,30,73,718","19,25,33,23,758.60","2,67,805"
16-Jul-2025,EQ,"816.00","834.20","815.30","816.45","830.50","831.70","827.89","899.00","680.00","1,64,58,920","13,62,62,44,060.15","2,87,903"
15-Jul-2025,EQ,"811.00","821.00","810.50","808.85","816.40","816.45","816.69","899.00","680.00","92,97,645","7,59,32,79,897.10","1,63,000"
14-Jul-2025,EQ,"809.80","815.50","808.00","808.65","809.10","808.85","810.60","899.00","680.00","69,38,635","5,62,44,60,859.00","1,12,079"
11-Jul-2025,EQ,"807.55","812.55","804.55","808.00","808.60","808.65","808.72","899.00","680.00","62,02,372","5,01,59,55,117.90","1,43,253"
10-Jul-2025,EQ,"811.30","815.50","806.90","810.95","807.55","808.00","810.53","899.00","680.00","1,21,78,137","9,87,07,66,879.95","1,71,580"
09-Jul-2025,EQ,"810.00","812.45","809.00","812.65","811.00","810.95","810.91","899.00","680.00","40,99,112","3,32,39,95,623.60","1,71,040"
08-Jul-2025,EQ,"807.90","813.55","805.35","806.85","812.25","812.65","809.46","899.00","680.00","59,35,770","4,80,47,95,680.55","1,52,435"
07-Jul-2025,EQ,"811.20","812.65","805.15","811.85","807.00","806.85","807.71","899.00","680.00","44,61,783","3,60,38,40,471.15","1,10,862"
04-Jul-2025,EQ,"808.75","813.85","804.10","807.10","811.25","811.85","808.47","899.00","680.00","43,19,538","3,49,22,04,634.35","96,453"
03-Jul-2025,EQ,"813.50","814.50","805.80","812.90","807.00","807.10","809.78","899.00","680.00","70,20,403","5,68,49,73,436.05","1,37,793"
02-Jul-2025,EQ,"821.00","824.05","809.00","820.30","812.70","812.90","814.81","899.00","680.00","66,61,200","5,42,75,83,829.55","1,21,545"
01-Jul-2025,EQ,"820.00","824.90","813.25","820.35","820.20","820.30","819.76","899.00","680.00","1,14,56,405","9,39,14,84,331.05","1,57,197"
30-Jun-2025,EQ,"809.00","821.00","807.05","805.40","819.85","820.35","816.64","899.00","680.00","1,96,52,607","16,04,91,37,157.55","2,49,562"
27-Jun-2025,EQ,"805.00","809.45","802.65","797.05","804.55","805.40","805.86","899.00","680.00","1,93,75,990","15,61,42,54,535.75","2,62,127"
26-Jun-2025,EQ,"802.00","803.35","791.40","800.05","796.05","797.05","795.08","899.00","680.00","2,47,04,402","19,64,19,48,457.00","2,08,543"
